GeneID	IsEffector	Motifs	Hit	PercID	Evalue	Length	C_count	CysPercent	Cys_rich	Domains	EffectorCategory
HpaP800205 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800208	no	NA	NA	NA	NA	314	7	2.23	no	NA	Unknown
HpaP800208 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800210	no	NA	NA	NA	NA	316	6	1.9	no	NA	Unknown
HpaP800210 	yes	ToxA	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800215	no	NA	NA	NA	NA	96	0	0	no	NA	Unknown
HpaP800215 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800216	no	NA	NA	NA	NA	96	0	0	no	NA	Unknown
HpaP800216 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800220	no	NA	NA	NA	NA	209	7	3.35	yes	NA	Unknown
HpaP800220 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800224	no	NA	NA	NA	NA	174	10	5.75	yes	NA	Unknown
HpaP800224 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800233	no	NA	NA	NA	NA	72	2	2.78	no	NA	Unknown
HpaP800233 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800237	no	NA	NA	NA	NA	112	2	1.79	no	NA	Unknown
HpaP800237 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800243	no	NA	NA	NA	NA	98	4	4.08	yes	NA	Unknown
HpaP800243 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800244	no	NA	NA	NA	NA	99	5	5.05	yes	NA	Unknown
HpaP800244 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800247	no	NA	NA	NA	NA	98	2	2.04	no	NA	Unknown
HpaP800247 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800251	no	NA	NA	NA	NA	195	3	1.54	no	NA	Unknown
HpaP800251 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800252	no	NA	NA	NA	NA	788	5	0.63	no	NA	Unknown
HpaP800252 	yes	YFWxC,LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800253	no	NA	NA	NA	NA	172	3	1.74	no	NA	Unknown
HpaP800253 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800254	no	NA	NA	NA	NA	413	8	1.94	no	NA	Unknown
HpaP800254 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800258	no	NA	NA	NA	NA	196	13	6.63	yes	NA	Unknown
HpaP800258 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800266	no	NA	NA	NA	NA	477	23	4.82	yes	NA	Unknown
HpaP800266 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800268	no	NA	NA	NA	NA	585	8	1.37	no	NA	Unknown
HpaP800268 	yes	Crinkler,[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800270	no	NA	NA	NA	NA	888	12	1.35	no	NA	Unknown
HpaP800270 	yes	YFWxC,LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800272	no	NA	NA	NA	NA	398	8	2.01	no	NA	Unknown
HpaP800272 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800277	no	NA	NA	NA	NA	60	3	5	yes	NA	Unknown
HpaP800277 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800291	no	NA	NA	NA	NA	88	4	4.55	yes	NA	Unknown
HpaP800291 	yes	YFWxC,CHxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800296	no	NA	NA	NA	NA	83	5	6.02	yes	NA	Unknown
HpaP800296 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800298	no	NA	NA	NA	NA	431	7	1.62	no	NA	Unknown
HpaP800298 	yes	NA	NA	NA	NA	NA	NA	NA	NA	TPR	Domain-only
HpaP800300	no	NA	NA	NA	NA	55	1	1.82	no	NA	Unknown
HpaP800300 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800306	no	NA	NA	NA	NA	202	5	2.48	no	NA	Unknown
HpaP800306 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800309	no	NA	NA	NA	NA	210	8	3.81	yes	NA	Unknown
HpaP800309 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800312	no	NA	NA	NA	NA	552	6	1.09	no	NA	Unknown
HpaP800312 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800314	no	NA	NA	NA	NA	431	3	0.7	no	NA	Unknown
HpaP800314 	yes	Crinkler	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800319	no	NA	NA	NA	NA	83	4	4.82	yes	NA	Unknown
HpaP800319 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800324	no	NA	NA	NA	NA	428	11	2.57	no	NA	Unknown
HpaP800324 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800328	no	NA	NA	NA	NA	849	13	1.53	no	NA	Unknown
HpaP800328 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800329	no	NA	NA	NA	NA	1034	41	3.97	yes	NA	Unknown
HpaP800329 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	HAT	Motif-only
HpaP800331	no	NA	NA	NA	NA	52	0	0	no	NA	Unknown
HpaP800331 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800336	no	NA	NA	NA	NA	69	0	0	no	NA	Unknown
HpaP800336 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800340	no	NA	NA	NA	NA	66	0	0	no	NA	Unknown
HpaP800340 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800341	no	NA	NA	NA	NA	66	2	3.03	yes	NA	Unknown
HpaP800341 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800342	no	NA	NA	NA	NA	155	4	2.58	no	NA	Unknown
HpaP800342 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800343	no	NA	NA	NA	NA	1098	13	1.18	no	NA	Unknown
HpaP800343 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800344	no	NA	NA	NA	NA	95	0	0	no	NA	Unknown
HpaP800344 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800346	no	NA	NA	NA	NA	96	4	4.17	yes	NA	Unknown
HpaP800346 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800348	no	NA	NA	NA	NA	64	0	0	no	NA	Unknown
HpaP800348 	yes	ToxA	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800354	no	NA	NA	NA	NA	67	1	1.49	no	NA	Unknown
HpaP800354 	yes	NA	NA	NA	NA	NA	NA	NA	NA	HAT	Domain-only
HpaP800355	no	NA	NA	NA	NA	49	4	8.16	yes	NA	Unknown
HpaP800355 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800356	no	NA	NA	NA	NA	162	9	5.56	yes	NA	Unknown
HpaP800356 	yes	YFWxC,[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800357	no	NA	NA	NA	NA	1339	15	1.12	no	NA	Unknown
HpaP800357 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800359	no	NA	NA	NA	NA	959	10	1.04	no	NA	Unknown
HpaP800359 	yes	G[IFY][ALST]R	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800363	no	NA	NA	NA	NA	174	1	0.57	no	NA	Unknown
HpaP800363 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800364	no	NA	NA	NA	NA	94	4	4.26	yes	NA	Unknown
HpaP800364 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800368	no	NA	NA	NA	NA	195	4	2.05	no	NA	Unknown
HpaP800368 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800370	no	NA	NA	NA	NA	522	2	0.38	no	NA	Unknown
HpaP800370 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800373	no	NA	NA	NA	NA	67	0	0	no	NA	Unknown
HpaP800373 	yes	NA	NA	NA	NA	NA	NA	NA	NA	HAT	Domain-only
HpaP800374	no	NA	NA	NA	NA	69	4	5.8	yes	NA	Unknown
HpaP800374 	yes	ToxA	NA	NA	NA	NA	NA	NA	NA	HAT	Motif-only
HpaP800380	no	NA	NA	NA	NA	281	4	1.42	no	NA	Unknown
HpaP800380 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800384	no	NA	NA	NA	NA	495	14	2.83	no	NA	Unknown
HpaP800384 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800385	no	NA	NA	NA	NA	747	9	1.2	no	NA	Unknown
HpaP800385 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800387	no	NA	NA	NA	NA	102	11	10.78	yes	NA	Unknown
HpaP800387 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800389	no	NA	NA	NA	NA	67	1	1.49	no	NA	Unknown
HpaP800389 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800396	no	NA	NA	NA	NA	1035	20	1.93	no	NA	Unknown
HpaP800396 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800400	no	NA	NA	NA	NA	840	22	2.62	no	NA	Unknown
HpaP800400 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800407	no	NA	NA	NA	NA	389	10	2.57	no	NA	Unknown
HpaP800407 	yes	LysM,EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800409	no	NA	NA	NA	NA	50	3	6	yes	NA	Unknown
HpaP800409 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800410	no	NA	SSPbP94	22.9	1.77e-13	NA	NA	NA	NA	NA	PHI-only
HpaP800411	no	NA	NA	NA	NA	359	7	1.95	no	NA	Unknown
HpaP800411 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800413	no	NA	NA	NA	NA	169	3	1.78	no	NA	Unknown
HpaP800413 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800415	no	NA	NA	NA	NA	266	2	0.75	no	NA	Unknown
HpaP800415 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800421	no	NA	NA	NA	NA	346	8	2.31	no	NA	Unknown
HpaP800421 	yes	RXLR,PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800422	no	NA	NA	NA	NA	122	3	2.46	no	NA	Unknown
HpaP800422 	yes	LysM,ToxA	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800425	no	NA	NA	NA	NA	170	6	3.53	yes	NA	Unknown
HpaP800425 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800426	no	NA	NA	NA	NA	68	1	1.47	no	NA	Unknown
HpaP800426 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800427	no	NA	NA	NA	NA	564	9	1.6	no	NA	Unknown
HpaP800427 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800429	no	NA	NA	NA	NA	281	5	1.78	no	NA	Unknown
HpaP800429 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800435	no	NA	NA	NA	NA	249	2	0.8	no	NA	Unknown
HpaP800435 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800436	no	NA	NA	NA	NA	163	7	4.29	yes	NA	Unknown
HpaP800436 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800438	no	NA	NA	NA	NA	150	3	2	no	NA	Unknown
HpaP800438 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800444	no	NA	NA	NA	NA	97	2	2.06	no	NA	Unknown
HpaP800444 	yes	Crinkler	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800445	no	NA	NA	NA	NA	81	4	4.94	yes	NA	Unknown
HpaP800445 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800446	no	NA	NA	NA	NA	70	7	10	yes	NA	Unknown
HpaP800446 	yes	CHxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
HpaP800448	no	NA	NA	NA	NA	270	1	0.37	no	NA	Unknown
