GeneID	IsEffector	Motifs	Hit	PercID	Evalue	Length	C_count	CysPercent	Cys_rich	Domains	EffectorCategory
PITG_00045 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00046	no	NA	NA	NA	NA	689	52	7.55	yes	NA	Unknown
PITG_00046 	yes	YFWxC,LysM,ToxA	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00047	no	NA	NA	NA	NA	754	8	1.06	no	NA	Unknown
PITG_00047 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00049	no	NA	NA	NA	NA	510	6	1.18	no	NA	Unknown
PITG_00049 	yes	LysM,EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00050	no	NA	NA	NA	NA	531	18	3.39	yes	NA	Unknown
PITG_00050 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00051	no	NA	NA	NA	NA	297	4	1.35	no	NA	Unknown
PITG_00051 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00053	no	NA	NA	NA	NA	354	6	1.69	no	NA	Unknown
PITG_00053 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00054	no	NA	NA	NA	NA	259	4	1.54	no	NA	Unknown
PITG_00054 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00058	no	NA	EPIC1	47.48	2.75e-25	NA	NA	NA	NA	NA	PHI-only
PITG_00069	no	NA	NA	NA	NA	576	3	0.52	no	NA	Unknown
PITG_00069 	yes	RXLR,YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00072	no	NA	NA	NA	NA	1566	36	2.3	no	NA	Unknown
PITG_00072 	yes	RXLR,PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00076	no	NA	NA	NA	NA	206	8	3.88	yes	NA	Unknown
PITG_00076 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00077	no	NA	NA	NA	NA	1511	25	1.65	no	NA	Unknown
PITG_00077 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	TPR	Motif-only
PITG_00078	no	NA	NA	NA	NA	873	8	0.92	no	NA	Unknown
PITG_00078 	yes	RXLR,YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00082	no	NA	NA	NA	NA	695	9	1.29	no	NA	Unknown
PITG_00082 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00084	no	NA	NA	NA	NA	135	5	3.7	yes	NA	Unknown
PITG_00084 	yes	G[IFY][ALST]R	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00088	no	NA	NA	NA	NA	448	10	2.23	no	NA	Unknown
PITG_00088 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00089	no	NA	NA	NA	NA	191	1	0.52	no	NA	Unknown
PITG_00089 	yes	RXLR,EAR_1,PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00093	no	NA	NA	NA	NA	286	3	1.05	no	NA	Unknown
PITG_00093 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00094	no	NA	NA	NA	NA	557	8	1.44	no	NA	Unknown
PITG_00094 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	HAT	Motif-only
PITG_00100	no	NA	NA	NA	NA	286	2	0.7	no	NA	Unknown
PITG_00100 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00101	no	NA	NA	NA	NA	1338	26	1.94	no	NA	Unknown
PITG_00101 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	HAT	Motif-only
PITG_00107	no	NA	NA	NA	NA	241	2	0.83	no	NA	Unknown
PITG_00107 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00110	no	NA	NA	NA	NA	228	0	0	no	NA	Unknown
PITG_00110 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00116	no	NA	NA	NA	NA	621	17	2.74	no	NA	Unknown
PITG_00116 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00126	no	NA	NA	NA	NA	78	2	2.56	no	NA	Unknown
PITG_00126 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00127	no	NA	NA	NA	NA	328	3	0.91	no	NA	Unknown
PITG_00127 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00131	no	NA	NA	NA	NA	206	9	4.37	yes	NA	Unknown
PITG_00131 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00135	no	NA	NA	NA	NA	307	4	1.3	no	NA	Unknown
PITG_00135 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00140	no	NA	NA	NA	NA	1788	28	1.57	no	NA	Unknown
PITG_00140 	yes	YFWxC,PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00144	no	NA	NA	NA	NA	402	4	1	no	NA	Unknown
PITG_00144 	yes	G[IFY][ALST]R	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00147	no	NA	NA	NA	NA	282	9	3.19	yes	NA	Unknown
PITG_00147 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00152	no	NA	NA	NA	NA	1500	11	0.73	no	NA	Unknown
PITG_00152 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00153	no	NA	NA	NA	NA	192	3	1.56	no	NA	Unknown
PITG_00153 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00154	no	NA	NA	NA	NA	701	17	2.43	no	NA	Unknown
PITG_00154 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00156	no	NA	NA	NA	NA	446	12	2.69	no	NA	Unknown
PITG_00156 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00157	no	NA	NA	NA	NA	124	2	1.61	no	NA	Unknown
PITG_00157 	yes	G[IFY][ALST]R	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00164	no	NA	NA	NA	NA	371	0	0	no	NA	Unknown
PITG_00164 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00167	no	NA	NA	NA	NA	538	10	1.86	no	NA	Unknown
PITG_00167 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00173	no	NA	NA	NA	NA	260	4	1.54	no	NA	Unknown
PITG_00173 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00176	no	NA	NA	NA	NA	436	4	0.92	no	NA	Unknown
PITG_00176 	yes	[LI]xAR,PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00181	no	NA	NA	NA	NA	291	9	3.09	yes	NA	Unknown
PITG_00181 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	HAT	Motif-only
PITG_00182	no	NA	NA	NA	NA	117	1	0.85	no	NA	Unknown
PITG_00182 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00188	no	NA	NA	NA	NA	1158	7	0.6	no	NA	Unknown
PITG_00188 	yes	EAR_1,PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00195	no	NA	NA	NA	NA	125	1	0.8	no	NA	Unknown
PITG_00195 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00196	no	NA	NA	NA	NA	79	2	2.53	no	NA	Unknown
PITG_00196 	yes	Crinkler,EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00197	no	NA	NA	NA	NA	918	12	1.31	no	NA	Unknown
PITG_00197 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00200	no	NA	NA	NA	NA	148	7	4.73	yes	NA	Unknown
PITG_00200 	yes	YFWxC,LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00207	no	NA	NA	NA	NA	363	12	3.31	yes	NA	Unknown
PITG_00207 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00209	no	NA	NA	NA	NA	499	13	2.61	no	NA	Unknown
PITG_00209 	yes	YFWxC,EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00215	no	NA	NA	NA	NA	958	14	1.46	no	NA	Unknown
PITG_00215 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00217	no	NA	NA	NA	NA	463	5	1.08	no	NA	Unknown
PITG_00217 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00219	no	NA	P43070|PHI61|Bgl2	29.3	3.19e-26	356	2	0.56	no	NA	PHI-only
PITG_00219 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00222	no	NA	NA	NA	NA	105	2	1.9	no	NA	Unknown
PITG_00222 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00225	no	NA	NA	NA	NA	494	12	2.43	no	NA	Unknown
PITG_00225 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00226	no	NA	NA	NA	NA	1041	10	0.96	no	NA	Unknown
PITG_00226 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00229	no	NA	NA	NA	NA	394	4	1.02	no	NA	Unknown
PITG_00229 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00231	no	NA	NA	NA	NA	351	4	1.14	no	NA	Unknown
PITG_00231 	yes	EAR_1,[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00232	no	NA	NA	NA	NA	149	4	2.68	no	NA	Unknown
PITG_00232 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00234	no	NA	NA	NA	NA	403	22	5.46	yes	NA	Unknown
PITG_00234 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00246	no	NA	NA	NA	NA	412	4	0.97	no	NA	Unknown
PITG_00246 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00252	no	NA	NA	NA	NA	265	0	0	no	NA	Unknown
PITG_00252 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00258	no	NA	NA	NA	NA	105	1	0.95	no	NA	Unknown
PITG_00258 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00259	no	NA	NA	NA	NA	207	1	0.48	no	NA	Unknown
PITG_00259 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00265	no	NA	SSPbP94	34.22	4.66e-43	290	5	1.72	no	NA	PHI-only
PITG_00265 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	BRCT	Motif-only
PITG_00266	no	NA	NA	NA	NA	144	0	0	no	NA	Unknown
PITG_00266 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00267	no	NA	NA	NA	NA	70	1	1.43	no	NA	Unknown
PITG_00267 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00270	no	NA	NA	NA	NA	1023	13	1.27	no	NA	Unknown
PITG_00270 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00273	no	NA	NA	NA	NA	869	3	0.35	no	NA	Unknown
PITG_00273 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00281	no	NA	NA	NA	NA	465	9	1.94	no	NA	Unknown
PITG_00281 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00292	no	NA	NA	NA	NA	112	5	4.46	yes	NA	Unknown
PITG_00292 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00294	no	NA	NA	NA	NA	293	4	1.37	no	NA	Unknown
PITG_00294 	yes	ToxA	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00296	no	NA	NA	NA	NA	431	13	3.02	yes	NA	Unknown
PITG_00296 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00297	no	NA	NA	NA	NA	307	2	0.65	no	NA	Unknown
PITG_00297 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00301	no	NA	NA	NA	NA	738	12	1.63	no	NA	Unknown
PITG_00301 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00302	no	NA	NA	NA	NA	614	10	1.63	no	NA	Unknown
PITG_00302 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00304	no	NA	NA	NA	NA	356	10	2.81	no	NA	Unknown
PITG_00304 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00310	no	NA	NA	NA	NA	592	16	2.7	no	NA	Unknown
PITG_00310 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00311	no	NA	NA	NA	NA	154	1	0.65	no	NA	Unknown
PITG_00311 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00320	no	NA	NA	NA	NA	530	16	3.02	yes	NA	Unknown
PITG_00320 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00323	no	NA	NA	NA	NA	986	2	0.2	no	NA	Unknown
PITG_00323 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00324	no	NA	NA	NA	NA	646	13	2.01	no	NA	Unknown
PITG_00324 	yes	YFWxC,[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00327	no	NA	NA	NA	NA	133	3	2.26	no	NA	Unknown
PITG_00327 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00330	no	NA	NA	NA	NA	1167	19	1.63	no	NA	Unknown
PITG_00330 	yes	NA	NA	NA	NA	NA	NA	NA	NA	TPR	Domain-only
PITG_00331	no	NA	NA	NA	NA	408	7	1.72	no	NA	Unknown
PITG_00331 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00332	no	NA	NA	NA	NA	546	8	1.47	no	NA	Unknown
PITG_00332 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00333	no	NA	NA	NA	NA	1075	29	2.7	no	NA	Unknown
PITG_00333 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00334	no	NA	NA	NA	NA	887	11	1.24	no	NA	Unknown
PITG_00334 	yes	ToxA,PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00337	no	NA	NA	NA	NA	393	1	0.25	no	NA	Unknown
PITG_00337 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00339	no	NA	NA	NA	NA	819	12	1.47	no	NA	Unknown
PITG_00339 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00342	no	NA	NA	NA	NA	423	4	0.95	no	NA	Unknown
PITG_00342 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00343	no	NA	NA	NA	NA	678	13	1.92	no	NA	Unknown
PITG_00343 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00348	no	NA	NA	NA	NA	1324	18	1.36	no	NA	Unknown
PITG_00348 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00352	no	NA	NA	NA	NA	387	3	0.78	no	NA	Unknown
PITG_00352 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00353	no	NA	NA	NA	NA	359	5	1.39	no	NA	Unknown
PITG_00353 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00360	no	NA	NA	NA	NA	703	16	2.28	no	NA	Unknown
PITG_00360 	yes	YFWxC,[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00366	no	NA	NA	NA	NA	129	0	0	no	NA	Unknown
PITG_00366 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00378	no	NA	NA	NA	NA	307	6	1.95	no	NA	Unknown
PITG_00378 	yes	RXLR,Crinkler	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00380	no	NA	NA	NA	NA	607	7	1.15	no	NA	Unknown
PITG_00380 	yes	RXLR,YxSL[RK]	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00381	no	NA	NA	NA	NA	298	4	1.34	no	NA	Unknown
PITG_00381 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00382	no	NA	NA	NA	NA	163	3	1.84	no	NA	Unknown
PITG_00382 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00384	no	NA	NA	NA	NA	269	4	1.49	no	NA	Unknown
PITG_00384 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00388	no	NA	NA	NA	NA	661	15	2.27	no	NA	Unknown
PITG_00388 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00391	no	NA	NA	NA	NA	791	14	1.77	no	NA	Unknown
PITG_00391 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00392	no	NA	NA	NA	NA	286	4	1.4	no	NA	Unknown
PITG_00392 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00394	no	NA	NA	NA	NA	322	6	1.86	no	NA	Unknown
PITG_00394 	yes	G[IFY][ALST]R	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00395	no	NA	NA	NA	NA	384	16	4.17	yes	NA	Unknown
PITG_00395 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00396	no	NA	NA	NA	NA	535	3	0.56	no	NA	Unknown
PITG_00396 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00398	no	NA	NA	NA	NA	505	8	1.58	no	NA	Unknown
PITG_00398 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00409	no	NA	NA	NA	NA	182	0	0	no	NA	Unknown
PITG_00409 	yes	ToxA	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00411	no	NA	NA	NA	NA	253	4	1.58	no	NA	Unknown
PITG_00411 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00417	no	NA	NA	NA	NA	1146	17	1.48	no	NA	Unknown
PITG_00417 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00418	no	NA	NA	NA	NA	240	4	1.67	no	NA	Unknown
PITG_00418 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00420	no	NA	NA	NA	NA	162	7	4.32	yes	NA	Unknown
PITG_00420 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00424	no	NA	NA	NA	NA	339	4	1.18	no	NA	Unknown
PITG_00424 	yes	RXLR,PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00425	no	NA	NA	NA	NA	440	6	1.36	no	NA	Unknown
PITG_00425 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00441	no	NA	NA	NA	NA	424	10	2.36	no	NA	Unknown
PITG_00441 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00445	no	NA	NA	NA	NA	293	5	1.71	no	NA	Unknown
PITG_00445 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	HAT	Motif-only
PITG_00446	no	NA	NA	NA	NA	232	4	1.72	no	NA	Unknown
PITG_00446 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00447	no	NA	NA	NA	NA	352	3	0.85	no	NA	Unknown
PITG_00447 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00450	no	NA	NA	NA	NA	1838	23	1.25	no	NA	Unknown
PITG_00450 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00452	no	NA	NA	NA	NA	558	14	2.51	no	NA	Unknown
PITG_00452 	yes	RXLR,LysM,EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00453	no	NA	NA	NA	NA	480	1	0.21	no	NA	Unknown
PITG_00453 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00455	no	NA	NA	NA	NA	368	6	1.63	no	NA	Unknown
PITG_00455 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00472	no	NA	NA	NA	NA	215	0	0	no	NA	Unknown
PITG_00472 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00476	no	NA	NA	NA	NA	988	18	1.82	no	NA	Unknown
PITG_00476 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00481	no	NA	NA	NA	NA	1541	22	1.43	no	NA	Unknown
PITG_00481 	yes	RXLR,[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00483	no	NA	NA	NA	NA	926	13	1.4	no	NA	Unknown
PITG_00483 	yes	Crinkler	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00485	no	NA	NA	NA	NA	115	2	1.74	no	NA	Unknown
PITG_00485 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00486	no	NA	NA	NA	NA	347	2	0.58	no	NA	Unknown
PITG_00486 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00488	no	NA	NA	NA	NA	88	0	0	no	NA	Unknown
PITG_00488 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00489	no	NA	NA	NA	NA	414	13	3.14	yes	NA	Unknown
PITG_00489 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00491	no	NA	NA	NA	NA	988	19	1.92	no	NA	Unknown
PITG_00491 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00493	no	NA	NA	NA	NA	1365	32	2.34	no	NA	Unknown
PITG_00493 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00494	no	NA	NA	NA	NA	426	4	0.94	no	NA	Unknown
PITG_00494 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00496	no	NA	NA	NA	NA	1126	19	1.69	no	NA	Unknown
PITG_00496 	yes	EAR_1	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00499	no	NA	NA	NA	NA	524	8	1.53	no	NA	Unknown
PITG_00499 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00500	no	NA	NA	NA	NA	149	0	0	no	NA	Unknown
PITG_00500 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00504	no	NA	NA	NA	NA	423	20	4.73	yes	NA	Unknown
PITG_00504 	yes	[LI]xAR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00506	no	NA	NA	NA	NA	271	5	1.85	no	NA	Unknown
PITG_00506 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00509	no	NA	NA	NA	NA	381	5	1.31	no	NA	Unknown
PITG_00509 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00522	no	NA	NA	NA	NA	304	3	0.99	no	NA	Unknown
PITG_00522 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00525	no	NA	NA	NA	NA	510	7	1.37	no	NA	Unknown
PITG_00525 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	HAT	Motif-only
PITG_00527	no	NA	NA	NA	NA	656	1	0.15	no	NA	Unknown
PITG_00527 	yes	YFWxC	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00530	no	NA	NA	NA	NA	268	6	2.24	no	NA	Unknown
PITG_00530 	yes	LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00533	no	NA	NA	NA	NA	208	0	0	no	NA	Unknown
PITG_00533 	yes	PDI	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00536	no	NA	NA	NA	NA	379	1	0.26	no	NA	Unknown
PITG_00536 	yes	RXLR	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00538	no	NA	NA	NA	NA	162	4	2.47	no	NA	Unknown
PITG_00538 	yes	RXLR,LysM	NA	NA	NA	NA	NA	NA	NA	NA	Motif-only
PITG_00545	no	NA	NA	NA	NA	150	3	2	no	NA	Unknown
