GeneID	Hit	PercID	Evalue
PITG_06174	Q945T9|PHI653|Gip2,GIP1	42.56,39.34	1.21e-61,1.59e-57
PITG_15980	P43070|PHI61|Bgl2	28.31	1.63e-27
PITG_15152	PsPSR2,PsAvh163,BSW11	45.56,24.14,21.89	0,3.73e-31,7.65e-16
PITG_05045	crn2,RiNLE1,RiCRN1	93.1,35.95	1.3e-95,6.94e-09
PITG_05771	PsPSR2,Avr1k,BLR20,HaRxL24	25.35,24.6,21.05,23.31	2.69e-10,2.39e-09,1.65e-07,7.58e-07
PITG_08193	Q01905|PHI111PHI760|Inf1,O42718|PHI762|Inf2a,O42719|PHI764|Inf2b	35.48,32.93,30.95	1.21e-11,3.53e-08,7.51e-07
PITG_00058	EPIC1	47.48	2.75e-25
PITG_13481	Avr1d	47.93	1e-33
PITG_04388	PsPSR2,HaRxL24,HaRxL96	31.56,30.81,25.44	2.31e-34,1.28e-18,6.28e-09
PITG_21247	Q0ZJ79|PHI2343|Pcipg2,P41749|PHI88|Peca,O94100|PHI103PHI1027|Bcpga1Bcpg1,P78607|PHI247|Cppg1,P78608|PHI437|Cppg2	73.58,34.05,40.55,38.21,37.09	2.67e-176,1.49e-66,9.42e-64,5.5e-62,1.05e-58
PITG_14924	EPIC1	28.57	5.57e-12
PITG_01250	Zt89160	28.74	1.66e-10
PITG_12401	Q00298|PHI69|Cuta,Q99174|PHI2849|Cuta	30.64,26.9	2.65e-13,1.11e-12
PITG_04279	BLN08	28.16	3.68e-08
PITG_12074	PsCRN108	30.91	6.37e-91
PITG_16985	PsXEG1	41.82	2.86e-52
PITG_21986,PITG_22202	PsXEG1	81.73	3.39e-53
PITG_17310	AVR3a	50	1.6e-11
PITG_22722	PsPSR2,HaRxL24,PsAvh163,BSW03	35.13,28.57,30.22,25.88	2.11e-41,2.6e-20,6.12e-19,8.86e-07
PITG_17871	PsPSR2,BLR36,PsAvh163,BLR13,HaRxL24	25.55,26.19,25.33,24.74,20.36	6e-38,9.72e-19,7.41e-18,9.68e-16,1.38e-10
PITG_17095	SSPbP94	23.98	2.67e-14
PITG_22708	Q01905|PHI111PHI760|Inf1,O42719|PHI764|Inf2b,O42718|PHI762|Inf2a	30.95,31.96,31.91	5.94e-10,3.07e-07,4.69e-07
PITG_14708	Q6PQG3|PHI4252|Epi10	26.52	2.23e-09
PITG_23077	Q94FS7|PHI665|Pcf	69.56	1.56e-18
PITG_08074	PsPSR2,HaRxL24,PsAvh163	31.21,27.93,29.37	1.21e-16,3.55e-12,3.74e-09
PITG_15255	PsAvh23,RXLR21	41.11,34.09	5.51e-12,3.95e-10
PITG_04267	L7NCR0|PHI8061|Pc129892,NEP1,FocSix8,MoSPD9,Q0E7H7|PHI2342|Benep2	38.49,32.46,32.1,35.05,32.59	6.3e-50,6.57e-39,1.03e-35,1.22e-31,1.77e-28
PITG_13636	Q945T9|PHI653|Gip2,GIP1	48.07,44.62	4.06e-77,5.36e-71
PITG_07566	Avr1a	30.77	2.56e-08
PITG_19232	PsAvh163	41.51	3.6e-17
PITG_23032	Q6PQG3|PHI4252|Epi10	68.42	5.9e-66
PITG_13671	Q945T9|PHI653|Gip2,GIP1	63.98,56.76	1.15e-110,2.14e-100
PITG_05912	Avr1b-1,AVR3a	39.85,28.95	5.38e-17,5.19e-10
PITG_00957	L7NCR0|PHI8061|Pc129892,NEP1,Q0E7H7|PHI2342|Benep2,FocSix8,MoSPD9	50.63,35.52,34.3,34.47,30.74	2.47e-68,4.02e-45,4.61e-33,1.87e-32,1.29e-27
PITG_13940	AVR2_1	36.04	9.19e-09
PITG_20172	crn1,crn2	85.18,27.98	0,4.21e-31
PITG_23055	L7NCR0|PHI8061|Pc129892,NEP1,Q0E7H7|PHI2342|Benep2,MoSPD9,FocSix8	37.31,33.5,32.66,28.65,30.35	8.05e-34,3.41e-21,1.35e-20,1.94e-20,1.54e-17
PITG_06910	SSPbP94	29.34	4.54e-20
PITG_07594	Avh5	38.51	1.61e-28
PITG_02623	P0DJ06|PHI72PHI6784PHI6790PHI6812|Sap2,P0CY26|PHI68|Sap1,Q00663|PHI17|Acp	21.01,23.2,21.25	3.11e-10,5.27e-09,8.02e-08
PITG_07630	PsPSR2,HaRxL96,PsAvh163,HaRxL22	25.63,26.36,23.88,27.05	4.72e-16,3.41e-10,8.01e-10,1.41e-08
PITG_14374	AVR3a,Avr1b-1	85.03,32.67	7.21e-85,1.2e-12
PITG_23062	L7NCR0|PHI8061|Pc129892,NEP1,Q0E7H7|PHI2342|Benep2,MoSPD9	34.81,25.19,27.73,25.54	5.23e-42,4.92e-21,7.04e-18,8.58e-17
PITG_08943,PITG_22870	AVR2_1	100	3.46e-84
PITG_12722	PsAvh23	35.16	4.35e-07
PITG_20300	Avrblb2	89	5.44e-49
PITG_15039	PsPSR2,HaRxL24,PsAvh163,HaRxL22	35.18,31.48,27.27,22.61	1.43e-75,1.66e-29,5.69e-29,2.47e-12
PITG_06246	PsAvh163,PsPSR2,HaRxL96,HaRxL22	32.58,26.23,27.95,27.11	1.88e-67,8.93e-32,8.13e-26,3.12e-23
PITG_10348	PsAvh163,PsPSR2,HaRxL22	38.33,29.59,29.41	6.11e-18,7.41e-09,8.13e-08
PITG_04810	PsCRN108	33.33	2.61e-13
PITG_19617	AVR2_1	42.17	6.2e-10
PITG_13641	Q945T9|PHI653|Gip2,GIP1	63.95,50.58	2.79e-107,7.21e-83
PITG_16614	crn1,crn2	79.14,28.84	0,4.7e-37
PITG_16872	Q01905|PHI111PHI760|Inf1,O42719|PHI764|Inf2b,O42718|PHI762|Inf2a	39.62,38.18,36.36	7.15e-10,1.19e-07,6.83e-07
PITG_23228	L7NCR0|PHI8061|Pc129892,NEP1,Q0E7H7|PHI2342|Benep2,MoSPD9,FocSix8	37.45,27.49,27.89,24,27.05	1.16e-43,2.07e-22,8.4e-20,5.5e-19,1.31e-14
PITG_19620	Q0ZJ79|PHI2343|Pcipg2,P78607|PHI247|Cppg1,O94100|PHI103PHI1027|Bcpga1Bcpg1,P41749|PHI88|Peca,P78608|PHI437|Cppg2	72.75,39.35,42.81,33.6,36.98	5.02e-174,1.65e-65,5.08e-65,8.66e-64,3.75e-62
PITG_16597	crn1,crn2	85.42,28.18	0,1.89e-32
PITG_13452	PsAvh23	35.56	7.49e-11
PITG_13730	SSPbP94	27.5	1.59e-13
PITG_12057	PsPSR2,PsAvh163	35.5,26.82	9.25e-96,4.09e-29
PITG_07387	PiAvr4	100	0
PITG_16873	O42718|PHI762|Inf2a	36	1.81e-07
PITG_08445	OASTL	31.69	2.63e-54
PITG_02707	GIP1,Q945T9|PHI653|Gip2	34.87,37.45	4.83e-37,6.07e-37
PITG_13292	Q6PQG3|PHI4252|Epi10	32.31	3.96e-07
PITG_12504	SSPbP94	26.36	8.68e-11
PITG_09169	EPIC1	100	1.53e-93
PITG_19340	crn1,crn2	96.29,29.23	0,1.41e-36
PITG_15303	Avrblb2	47.94	8.76e-12
PITG_18820	crn1,crn2	86.24,29.47	0,3.9e-42
PITG_17218	PsPSR2,HaRxL24,PsAvh163	33.33,28.46,31.87	1.33e-42,2.7e-21,5.05e-21
PITG_23054	PsPSR2,HaRxL2	26.75,26.79	8.83e-16,1.96e-07
PITG_12361	Q00298|PHI69|Cuta,Q99174|PHI2849|Cuta	31.79,27.41	5.43e-15,6.32e-13
PITG_16991	PsXEG1	50.68	9.53e-82
PITG_02700	Q945T9|PHI653|Gip2,GIP1	34.83,30.7	6.35e-24,3.69e-23
PITG_14787	Avr3a/5	36.11	4.92e-08
PITG_23035	PsPSR2	31.41	2.21e-92
PITG_13488	P29138|PHI4615|Pr1	26.21	9.47e-11
PITG_05121	AVR2_1	41.03	1.68e-13
PITG_22880	PsPSR2,PsAvh163,HaRxL24,HaRxL96	34.19,29.51,28.95,25.23	1.87e-16,2.23e-13,2.55e-12,4.37e-10
PITG_05133	PsPSR2,HaRxL24	27.01,30.81	2.16e-19,5.55e-17
PITG_19625	Q0ZJ79|PHI2343|Pcipg2,O94100|PHI103PHI1027|Bcpga1Bcpg1,P78607|PHI247|Cppg1,P41749|PHI88|Peca,P78608|PHI437|Cppg2	70.76,44.65,39.13,38.08,38.67	1.73e-158,3.09e-66,3.74e-61,4.04e-60,1.66e-59
PITG_01907	BLR20,PsPSR2,BLN08_2	29.07,22.76,26.52	2.17e-10,1.7e-08,2.98e-07
PITG_23138	Avrblb2	58.7	9.78e-10
PITG_04765	PsCRN108	32.04	1.67e-78
PITG_05511	SSPbP94	25.17	4.21e-13
PITG_14891	EPIC1	46.09	8.76e-42
PITG_17490	SSPbP94	25.69	5.77e-11
PITG_04269	PsPSR2,BSW11,PsAvh163,HaRxL96	29.01,26.06,23.65,25.43	1.21e-42,2.69e-21,1.12e-11,5.26e-10
PITG_23165	crn1,crn2	86.24,29.68	0,6.53e-43
PITG_20922	PsPSR2,BSW11,BLR36,PsAvh163	29.01,26.05,23.59,23.34	1.2e-38,8.16e-14,3.26e-10,4.49e-09
PITG_06432	AVR1	81.18	8.46e-100
PITG_09316	PsPSR2,BLR20,HaRxL24	23.55,28.2,22.59	7.52e-15,5.16e-14,1.21e-11
PITG_14371	AVR3a,Avr1b-1	100,31.13	6.13e-111,1.73e-08
PITG_12167	SSPbP94	25.96	4.85e-12
PITG_06478	BLR20,BLN08_2,PsPSR2,HaRxL24	22.6,22.48,20.8,22.76	2.21e-18,1.85e-16,2.06e-16,1.47e-10
PITG_20433	crn1	31.82	7.97e-11
PITG_19377	crn2,RiNLE1,RiCRN1	93.79,35.95	9.28e-97,6.38e-09
PITG_15972	AVR2_1	42.17	5.79e-10
PITG_23016	AVR3a	90.16	2.57e-29
PITG_14983	RxLR30	41.27	2.85e-07
PITG_00219	P43070|PHI61|Bgl2	29.3	3.19e-26
PITG_19523	PsPSR2,BSW11	29.21,23.41	9.46e-19,1.97e-09
PITG_19302	PsPSR2,PsAvh163,HaRxL22,HaRxL96	30.18,27.18,22.94,22.25	1.61e-55,3.64e-33,7.42e-13,5.31e-07
PITG_06962	PsXEG1	54.55	6.21e-84
PITG_23061	BLR20,BLN08_2,PsPSR2	31.5,24.29,23.78	3.25e-13,1.48e-07,2.8e-07
PITG_16473	P29138|PHI4615|Pr1	29.97	3.76e-18
PITG_17411	P43070|PHI61|Bgl2	21.14	9.35e-07
PITG_14673	PsPSR2,HaRxL24,PsAvh163,BLR36	28.73,31.49,22.1,22.67	1.01e-26,4.83e-20,2.72e-11,8.18e-08
PITG_16992	PsXEG1	47.51	2.12e-71
PITG_12561	O42718|PHI762|Inf2a,O42719|PHI764|Inf2b,Q01905|PHI111PHI760|Inf1	98.4,89.66,50.43	1.63e-124,3.87e-74,1.76e-34
PITG_21610	crn1,crn2	99.59,27.2	0,5.29e-18
PITG_22846	Q01905|PHI111PHI760|Inf1	26.83	7.87e-08
PITG_16866	L7NCR0|PHI8061|Pc129892,Q0E7H7|PHI2342|Benep2,NEP1,MoSPD9,FocSix8	65.39,41.63,39.38,38.89,37.34	3.32e-111,5.44e-55,1.58e-49,9.03e-48,2.54e-44
PITG_14879	PsPSR2	30.17	8.67e-16
PITG_04063	PsPSR2,HaRxL24,PsAvh163,BLR20	33.59,27.04,30.77,21.76	6.77e-42,3.53e-22,1.24e-20,3.05e-07
PITG_11350,PITG_21422	Avr3a/5	43.06	3.48e-09
PITG_04145	Avrblb2	48.33	2.02e-09
PITG_16825	Q0ZJ79|PHI2343|Pcipg2,P41749|PHI88|Peca,O94100|PHI103PHI1027|Bcpga1Bcpg1,Q9C4A0|PHI2817|Aapg1,P78607|PHI247|Cppg1	76.32,35.33,40.18,35.52,36.72	2.17e-159,7.44e-60,1.57e-58,1.28e-53,2.26e-53
PITG_21058	crn1,crn2	100,32	3.82e-95,5.67e-11
PITG_06419	PsPSR2,PsAvh163	28.78,26.63	1.88e-09,2.03e-07
PITG_22981	L7NCR0|PHI8061|Pc129892,NEP1,Q0E7H7|PHI2342|Benep2,FocSix8,MoSPD9	49.79,33.33,35.84,33.77,31.98	1.32e-65,1.61e-39,1.84e-36,1.94e-31,5.34e-24
PITG_13936	AVR2_1	37.66	5.98e-08
PITG_11522	P0CY29|PHI6785PHI6791PHI6813|Sap3,P0DJ06|PHI72PHI6784PHI6790PHI6812|Sap2	22.1,23.32	9.02e-09,2.02e-07
PITG_13593	Avr1b-1	37.5	2.35e-20
PITG_10839	L7NCR0|PHI8061|Pc129892,Q0E7H7|PHI2342|Benep2,NEP1,MoSPD9,FocSix8	48.85,42.65,39.39,40.15,35.71	2.02e-45,1.03e-33,6.09e-32,3.57e-27,1.25e-21
PITG_14880	PsPSR2,BSW11,BLR13,HaRxL24,BLR36	23.59,27.51,28.93,25.11,30.66	3.24e-20,5.73e-16,7.41e-16,2.2e-15,1.04e-11
PITG_04273	W2MG57|PHI7911|Ppxyn1,Q8NJ73|PHI2043|Xyl-6,O59937|PHI569|Xyl3,CfEcp5	82.1,31.52,31.18,24.85	3.32e-132,2.04e-21,1.58e-17,3.54e-10
PITG_19307	PsPSR2,HaRxL24,PsAvh163,BSW11,BLR36	29.66,24.06,25.16,25.24,23.44	3.37e-45,1.72e-20,4.61e-16,3.29e-11,1.62e-09
PITG_23097	Q01905|PHI111PHI760|Inf1,O42718|PHI762|Inf2a,O42719|PHI764|Inf2b	37.1,33.74	1.38e-09,1.66e-08,1.42e-07
PITG_05076	PsPSR2,PsAvh163,HaRxL24,HaRxL22	32.65,31.21,25.37,28.71	3.76e-20,1.61e-14,9.55e-09,6.67e-08
PITG_23193	Avrblb2	54.94	2.11e-21
PITG_07500	AVR2_1	41.59	6.85e-12
PITG_18683	Avrblb2	95	1.92e-51
PITG_17425	SSPbP94	22.34	1.53e-09
PITG_05118	AVR2_1	41.51	4.82e-12
PITG_03637	O42830|PHI660|Cbel(gp34)	63.28	2.44e-79
PITG_12458	PsPSR2,HaRxL24,PsAvh163,HaRxL96,HaRxL22	38.96,28.57,29.27,29.46,23.98	2.21e-61,7.62e-32,2.55e-21,9.05e-17,1.52e-09
PITG_23236	Q01905|PHI111PHI760|Inf1,O42719|PHI764|Inf2b,O42718|PHI762|Inf2a	30.95,31.96	3.29e-10,1.03e-07,1.93e-07
PITG_16615	crn1,crn2	86.47,29.9	0,1.2e-42
PITG_09773	Avr3a/5	39.02	2.38e-10
PITG_18453	L7NCR0|PHI8061|Pc129892,NEP1,FocSix8,MoSPD9,Q0E7H7|PHI2342|Benep2	43.2,33.33,33.04,32.85	5.68e-61,4.24e-37,9.49e-31,2.28e-30,7.05e-27
PITG_23119	EPI1,Q6PQG3|PHI4252|Epi10	53.95,41.82	1.98e-48,1.04e-20
PITG_10248	PsPSR2	22.84	8.12e-10
PITG_04799	PsCRN108	33.12	3.81e-77
PITG_17316	PsPSR2,HaRxL24,PsAvh163,BLR36	26.95,27.68,27.11,23	1.24e-27,9.1e-11,2.52e-10,3.54e-07
PITG_18571	crn2,crn1	78.34,29.1	0,1.3e-38
PITG_06175	GIP1,Q945T9|PHI653|Gip2	35.47,36.77	5.89e-42,4.07e-38
PITG_16193	PsPSR2	36.36	1.47e-08
PITG_23195	Q6PQG3|PHI4252|Epi10	34.38	1.39e-07
PITG_13484	PsCRN108	50.78	0
PITG_04272	W2MG57|PHI7911|Ppxyn1,O59937|PHI569|Xyl3,Q8NJ73|PHI2043|Xyl-6,CfEcp5	82.88,41.11,41.86,29.29	8.39e-63,7.6e-16,1.77e-14,8.89e-07
PITG_08522	L7NCR0|PHI8061|Pc129892,NEP1,Q0E7H7|PHI2342|Benep2,FocSix8,MoSPD9	49.3,40.19,37.33,37.81,35.05	3.19e-67,3.37e-47,2.41e-43,4.78e-35,5.57e-34
PITG_22536	crn2,RiNLE1,RiCRN1	93.79,35.95	5.97e-97,3.73e-09
PITG_03974	Q5TIP4|PHI2347|Pgip2	29.24	6.71e-10
PITG_00689	SSPbP94	24.27	1.49e-13
PITG_18503	crn2,crn1	79.43,29.32	0,8.62e-40
PITG_13550	PsAvh23	35.78	1.72e-13
PITG_21110	SSPbP94	27.53	3.77e-14
PITG_21410	Q01905|PHI111PHI760|Inf1,O42719|PHI764|Inf2b,O42718|PHI762|Inf2a	60.17,45.22,48.39	3.84e-44,3.5e-29,1.09e-28
PITG_12641	crn1,crn2	97.45,29.35	0,1.42e-37
PITG_19619	Q0ZJ79|PHI2343|Pcipg2,P41749|PHI88|Peca,O94100|PHI103PHI1027|Bcpga1Bcpg1,Q9C4A0|PHI2817|Aapg1,P78607|PHI247|Cppg1	55.8,29.89,34.98,31.2,32.16	2.39e-120,3.22e-41,2.1e-36,2.19e-35,3.3e-35
PITG_04248	L7NCR0|PHI8061|Pc129892,NEP1,FocSix8,Q0E7H7|PHI2342|Benep2,MoSPD9	43.03,29.28,30.64,29.41,30.45	9.45e-60,2.34e-31,2.49e-28,6.13e-24,5.64e-22
PITG_18497	crn2,crn1	78.38,27.95	0,1.03e-30
PITG_13648	Q945T9|PHI653|Gip2,GIP1	47.81,47.19	5.4e-73,1.05e-67
PITG_15549	SSPbP94	27.27	1.9e-17
PITG_06290	Avr1d	28.81	3.9e-10
PITG_02505	O42718|PHI762|Inf2a,O42719|PHI764|Inf2b	34.07	5.43e-11,1.51e-10
PITG_11374	PsXEG1	42.37	7.15e-10
PITG_04353	PsPSR2,PsAvh163,HaRxL24,HaRxL22,HaRxL96	26.88,29.3,27.23,24.16,24.36	4e-25,7.2e-21,3.38e-18,9.98e-11,1.65e-08
PITG_03258	N4TQ97,X0K3U9	37.65,37.24	1.07e-67,1.32e-66
PITG_23057	PsCRN108,crn1,crn2	58.73,47.83,53.7	1.83e-17,2.26e-13,4.56e-11
PITG_21949	AVR2_1	36.45	4.69e-09
PITG_12551	Q01905|PHI111PHI760|Inf1,O42718|PHI762|Inf2a,O42719|PHI764|Inf2b	100,50.44,49.56	2.74e-83,8.16e-33,2.42e-32
PITG_22956	crn1,crn2,PsCRN108,RiNLE1,RiCRN1	93.33,66.67,75,47.5	1.07e-25,1.62e-14,1.1e-12,1.86e-07
PITG_10339	PsAvh163,PsPSR2,HaRxL24,HaRxL22	37.41,30.51,27.78,27.75	1.34e-22,1.53e-10,9.06e-09,6.08e-08
PITG_05014	PsPSR2,PsAvh163,BSW11,BLR13	28.83,28.45,23.4,25.3	3.84e-72,5.96e-24,1.99e-18,7.44e-16
PITG_15114	PsAvh163,HaRxL22,PsPSR2,HaRxL24	31.97,26.14,27.1,24.09	7.35e-62,2.55e-26,1.7e-25,3e-10
PITG_16195	PsPSR2,PsAvh163,BSW11,HaRxL96	33.82,24.63,21.99,24.44	1e-61,4.91e-22,2.01e-16,1.95e-10
PITG_23075	L7NCR0|PHI8061|Pc129892,NEP1,MoSPD9,Q0E7H7|PHI2342|Benep2,FocSix8	36.43,24.41,27.08,25.9,27.47	6.73e-47,1.89e-24,9.57e-23,3.92e-21,1.38e-19
PITG_04350,PITG_21984	PsPSR2,PsAvh163,HaRxL24,HaRxL22,HaRxL96	26.25,27.45,25.82,24.16,24.41	2.23e-24,2.78e-20,1.53e-17,6.26e-10,1.8e-07
PITG_12129	Q6PQG3|PHI4252|Epi10,EPI1	99.04,36.36	6.96e-155,5.38e-22
PITG_22881	EPIC1	89.8	2.41e-54
PITG_21740	PsAvh163,PsPSR2	36.03,25.43	9.01e-75,2.65e-55
PITG_14788	PsPSR2	26.6	7.57e-07
PITG_12854	SSPbP94	25.09	3.34e-21
PITG_16827	Q6PQG3|PHI4252|Epi10,EPI1	60,31.25	2.87e-26,2.63e-10
PITG_19588	crn1,crn2	82.23,29.95	0,1.2e-37
PITG_21456	Q945T9|PHI653|Gip2,GIP1	48.48,46.64	8.25e-77,1.01e-69
PITG_02708	Q945T9|PHI653|Gip2,GIP1	41.91,37.75	5.5e-24,7.95e-24
PITG_09741	Avr3a/5	41.33	5.22e-10
PITG_11952	Avr3b	27.75	5.19e-08
PITG_23087	crn1,crn2	84.03,28.45	0,3.5e-31
PITG_04055	BLR20,BLN08_2,PsPSR2	25.86,26.67,21.67	3.93e-23,1.81e-17,2.76e-07
PITG_08070	PsCRN108,crn1	57.14,54.1	7.51e-32,1.76e-30
PITG_17670	PsPSR2	21.5	1.06e-07
PITG_21648	PsAvh163,PsPSR2,HaRxL96,HaRxL22	30.84,27.56,26.09,23.08	9.43e-27,4.59e-23,8.83e-18,5.16e-11
PITG_19938	L7NCR0|PHI8061|Pc129892,NEP1,FocSix8,Q0E7H7|PHI2342|Benep2,MoSPD9	44.72,31.22,33.92,33.64,35.64	1.18e-54,8.41e-34,3.67e-31,2.37e-27,3.35e-26
PITG_16282	Avr1b-1	40.79	1.44e-07
PITG_23094	L7NCR0|PHI8061|Pc129892,Q0E7H7|PHI2342|Benep2,NEP1,MoSPD9,FocSix8	45.99,34.73,32.71,28.51,30.91	7.84e-66,1.13e-37,2.3e-33,1.22e-31,3.77e-28
PITG_13072	PsPSR2,HaRxL24	30.94,33.7	6.86e-10,1.22e-07
PITG_20301	Avrblb2	94	5.15e-50
PITG_17040	O42830|PHI660|Cbel(gp34)	40.7	5.99e-60
PITG_18670	Avrblb2	53.42	1.18e-16
PITG_09212	PsPSR2,HaRxL24,PsAvh163	27.31,29.23,22.97	6.2e-24,9.63e-15,2.83e-09
PITG_08964	SSPbP94	20.3	3.67e-07
PITG_13680	Q945T9|PHI653|Gip2,GIP1	47.64,44.62	1.65e-75,1.49e-70
PITG_15278	PsPSR2,HaRxL24,PsAvh163,HaRxL96	32.08,26.61,28.52,22.22	8.78e-62,1.07e-27,6.66e-27,1.36e-07
PITG_22942	Q6PQG3|PHI4252|Epi10,EPI1	48.39,36.62	7.18e-17,4.07e-08
PITG_08190	P0CY26|PHI68|Sap1,P0CY29|PHI6785PHI6791PHI6813|Sap3,Q00663|PHI17|Acp	23.35,21.1,22.93	2.46e-10,7.82e-08,3.91e-07
PITG_13655	Q945T9|PHI653|Gip2,GIP1	50.83,47.58	1.58e-77,5.59e-76
PITG_18823	crn1,crn2	85.55,29.9	0,1.18e-42
PITG_22820	crn1	27.01	1.15e-09
PITG_19985	Q0ZJ79|PHI2343|Pcipg2,O94100|PHI103PHI1027|Bcpga1Bcpg1,P41749|PHI88|Peca,P78607|PHI247|Cppg1,O00094|PHI114|Pg1	65.46,38.33,34.39,36.98,37.77	4.49e-123,1.16e-48,5.13e-48,4.16e-46,2.81e-45
PITG_16713	PsPSR2,PsAvh163,HaRxL24	36.3,26.61,27.37	1.27e-23,2.54e-10,6.84e-10
PITG_20683	HaRxL36	81.6	2.95e-76
PITG_17624	crn1,crn2	82.83,29.09	0,6.25e-30
PITG_04769	PsCRN108	31.86	1.3e-80
PITG_10255	Q0ZJ79|PHI2343|Pcipg2,O94100|PHI103PHI1027|Bcpga1Bcpg1,P78607|PHI247|Cppg1,P41749|PHI88|Peca,P78608|PHI437|Cppg2	66.84,44.71,39.13,35.92,38.67	6.93e-162,1.61e-67,1.73e-61,5.79e-61,3.57e-60
PITG_23185	Avrblb2	51.39	4.29e-16
PITG_08687	SSPbP94	27.4	4.88e-14
PITG_04761	PsCRN108	32.1	6.98e-73
PITG_22692	Q6PQG3|PHI4252|Epi10	39.47	5.09e-09
PITG_04764	PsCRN108	32.09	2.41e-81
PITG_06191	Q945T9|PHI653|Gip2,GIP1	44.59,40.13	1.35e-39,1.07e-27
PITG_23036	PsPSR2,PsAvh163,HaRxL24,HaRxL96,HaRxL22	37.86,27.78,29.05,23.55,24.07	4.25e-87,4.79e-33,4.87e-33,2.65e-10,9.34e-10
PITG_05637	SSPbP94	28.85	1.47e-21
PITG_06308	Avr3b	33.03	3.96e-17
PITG_16598,PITG_16613	crn1,crn2	85.88,28.87	0,3.28e-32
PITG_05918	Avr1b-1,AVR3a	39.42,30.07	9.67e-20,4.63e-10
PITG_15902	X0K3U9,N4TQ97	37.93,36.78	1.29e-13,1.01e-12
PITG_20171	crn1,crn2	79.59,28.48	0,1.09e-36
PITG_19309	PsPSR2,HaRxL24,PsAvh163	32.3,31.43,25.12	6.09e-40,5.35e-23,1.11e-15
PITG_16283	PsPSR2,HaRxL24,PsAvh163	34.13,35.77,28.32	1.41e-25,2.77e-16,8.4e-13
PITG_06080	PsPSR2,BSW11,PsAvh163,BLR36,HaRxL24	30.2,26.14,25.45,24.29,26.19	6.8e-58,5.59e-32,7.25e-22,2.99e-18,3.86e-17
PITG_08278,PITG_20025	AVR2_1	41.96	3.21e-09
PITG_09387	P0DJ06|PHI72PHI6784PHI6790PHI6812|Sap2,P0CY26|PHI68|Sap1,P0CY29|PHI6785PHI6791PHI6813|Sap3,Q00663|PHI17|Acp	30.64,27.02,26.52,26.27	8.22e-26,1.87e-22,3.52e-19,5.18e-19
PITG_15142	PsPSR2,HaRxL24,PsAvh163,BSW11,HaRxL96	38.06,29.69,27.23,25.52,22.62	3.18e-93,5.07e-33,1.53e-30,1.1e-15,3.81e-15
PITG_14782	HaRxL2,PsAvh163	38.89,32.43	1.05e-12,6.01e-08
PITG_08949	AVR2_1	69.62	1.33e-35
PITG_13402	OASTL	30.6	8.72e-42
